Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Mark Twain,,,46,58,4,0.495451,0.522677,877.148076,0.041279,0.041279,3,0.002438,0,0.332367,344,0.205375
Frans af Assisi/Frans,,,47,91,4,0.494633,0.522677,143.260514,0.050948,0.050948,1,0.002205,0,0.471785,510,0.249858
Louise,,,29,38,4,0.475774,0.499583,88.878204,0.024666,0.024666,3,0.00153,0,0.312808,127,0.123833
Lise,,,40,43,4,0.485807,0.512938,195.66533,0.03632,0.03632,3,0.001976,0,0.35,273,0.180459
Ingrid,,,31,37,4,0.478053,0.502504,68.704288,0.026837,0.026837,3,0.001592,0,0.348387,162,0.135152
Henrik,,,91,133,4,0.524518,0.566361,1494.832298,0.07135,0.07135,3,0.004367,0,0.249328,1021,0.355534
Martin Luther King,,,49,71,4,0.499167,0.526989,436.101411,0.04111,0.04111,3,0.002424,0,0.306973,361,0.205898
Salomon/Salomo,,,65,141,4,0.504209,0.539232,151.459475,0.069628,0.069628,1,0.002886,0,0.479327,997,0.339611
Selma Lagerlöf,,,37,55,4,0.487785,0.512521,112.480933,0.040675,0.040675,4,0.001785,0,0.498498,332,0.199264
Bodil Jørgensen,,,17,18,4,0.461124,0.481636,46.657542,0.015188,0.015188,3,0.001013,0,0.330882,45,0.076554
Sisyfos,,,11,12,5,0.388709,0.412827,13.217979,0.006004,0.006004,3,0.000761,0,0.181818,10,0.030124
Moren,,,36,45,4,0.49018,0.513634,98.466709,0.033228,0.033228,3,0.0018,0,0.361905,228,0.16599
Jeremias,,,84,290,4,0.519965,0.559683,439.219629,0.083591,0.083591,1,0.00376,0,0.403328,1406,0.40952
Isak,,,92,194,4,0.525439,0.567474,1531.168695,0.068824,0.068824,3,0.00444,0,0.238414,998,0.343546
Farao,,,30,66,4,0.464341,0.491653,149.470504,0.02261,0.02261,3,0.001695,0,0.262069,114,0.113657
Per,,,39,54,4,0.48502,0.511964,315.570106,0.030007,0.030007,3,0.00203,0,0.251012,186,0.150767
Nikodemus,,,23,73,4,0.478817,0.498331,22.716691,0.030046,0.030046,1,0.001198,0,0.644269,163,0.148215
Preben Kok,,,40,54,3,0.491386,0.516416,491.97863,0.03832,0.03832,3,0.0021,0,0.353846,276,0.191024
Rene,,,14,15,4,0.457252,0.477323,8.830001,0.017738,0.017738,4,0.00083,0,0.615385,56,0.08746
Astrid,,,10,11,4,0.4497,0.468837,3.713171,0.010284,0.010284,3,0.000684,0,0.466667,21,0.05176
Peter Bastian,,,25,31,4,0.470173,0.493322,72.947323,0.023757,0.023757,3,0.001327,0,0.366667,110,0.11851
Magnus,,,32,35,4,0.482287,0.505843,85.893885,0.024965,0.024965,3,0.001645,0,0.302419,150,0.12675
Lea,,,21,35,4,0.464701,0.486923,24.017702,0.019317,0.019317,3,0.001141,0,0.390476,82,0.096936
Tage,,,90,139,4,0.522688,0.56483,1255.14567,0.072092,0.072092,3,0.004286,0,0.263421,1055,0.358654
Linda,,,7,8,4,0.442066,0.460768,1.790586,0.007642,0.007642,3,0.000551,0,0.619048,13,0.038756
Adolf Hitler,,,102,297,4,0.526825,0.573873,1055.337604,0.094368,0.094368,7,0.0046,0,0.353912,1823,0.461931
Dietrich Bonhoeffer,,,41,116,4,0.48898,0.515582,49.466104,0.04641,0.04641,7,0.001907,0,0.49878,409,0.228319
Samuel,,,39,47,4,0.475397,0.504869,221.697224,0.030029,0.030029,3,0.002013,0,0.259109,192,0.150333
Vladimir,,,7,7,4,0.44272,0.461324,10.686625,0.005816,0.005816,3,0.000581,0,0.238095,5,0.030079
Moder Theresa,,,34,53,4,0.481511,0.506539,43.102836,0.038216,0.038217,3,0.001634,0,0.509804,286,0.187601
Maria Magdalene,,,94,363,4,0.525439,0.568587,715.19855,0.086893,0.086893,4,0.004258,0,0.348433,1523,0.426397
Brian,,,29,37,4,0.484236,0.505426,375.526849,0.029552,0.029552,3,0.001586,0,0.423645,172,0.147512
Kjeld Holm,,,45,54,4,0.492194,0.520033,139.061435,0.037181,0.037181,3,0.002178,0,0.292929,290,0.185977
Hanne,,,24,28,4,0.467239,0.490401,66.267874,0.01798,0.01798,3,0.001315,0,0.253623,70,0.090938
Thomas Kingo,,,69,139,4,0.510221,0.545214,173.201327,0.072623,0.072623,1,0.003065,0,0.455243,1068,0.355383
Larsen,,,39,49,4,0.467969,0.499722,159.264823,0.030074,0.030074,3,0.00199,0,0.261808,194,0.149627
Forrest,,,8,9,4,0.423621,0.445047,2.439638,0.00865,0.00865,3,0.000591,0,0.428571,12,0.043008
Tom,,,29,40,4,0.475774,0.499583,153.457926,0.024284,0.024284,3,0.001594,0,0.283251,115,0.122095
Aron,,,22,40,4,0.447683,0.473845,128.338177,0.014481,0.014481,3,0.001291,0,0.242424,56,0.073798
William,,,40,49,4,0.48898,0.515164,875.659508,0.029426,0.029426,3,0.002279,0,0.215385,168,0.148634
Elias,,,82,376,4,0.512404,0.553979,236.421947,0.08743,0.08743,1,0.003561,0,0.483589,1606,0.424939
Iben Krogsdal,,,54,65,4,0.494633,0.526711,491.8073,0.042536,0.042536,3,0.002682,0,0.257862,369,0.211528
Andrea,,,12,12,4,0.451735,0.47148,14.066295,0.009347,0.009347,3,0.00078,0,0.287879,19,0.047694
Simon Kvamm,,,15,15,4,0.462191,0.481636,7.523935,0.017242,0.017242,3,0.000881,0,0.571429,60,0.086042
Lars von Triers,,,32,40,4,0.478053,0.502782,121.179646,0.026673,0.026673,3,0.001656,0,0.318548,158,0.133662
Lance Armstrong,,,17,19,4,0.459356,0.480523,160.734037,0.014353,0.014353,3,0.001079,0,0.272059,37,0.072359
Jean Valjean,,,22,30,4,0.474268,0.494435,12.786433,0.026567,0.026567,4,0.001144,0,0.571429,132,0.130975
Villy Sørensen,,,28,35,4,0.472397,0.496522,56.424623,0.024121,0.024121,3,0.001445,0,0.330688,125,0.120377
Helligånden,,,35,47,4,0.486596,0.510573,78.719835,0.033745,0.033745,3,0.001742,0,0.378151,225,0.167667
Søren,,,74,132,4,0.510221,0.548136,593.103681,0.070318,0.070318,4,0.003407,0,0.363199,981,0.346534
Lindhardt,,,36,44,4,0.486596,0.51113,180.476069,0.029979,0.029979,3,0.001865,0,0.295238,186,0.150849
Mads,,,49,54,4,0.487785,0.519477,325.136906,0.035578,0.035578,3,0.002452,0,0.230442,271,0.17877
Mesteren,,,30,41,4,0.474268,0.499026,56.319754,0.028268,0.028268,3,0.001521,0,0.358621,156,0.140061
Mikael/Michael,,,61,106,4,0.501675,0.535198,140.239475,0.065454,0.065454,4,0.00271,0,0.484699,887,0.318514
Rebekka,,,24,40,4,0.469804,0.492209,116.153009,0.016433,0.016433,3,0.001366,0,0.257246,71,0.084417
Marianne,,,23,26,4,0.470542,0.492209,99.621628,0.021267,0.021267,3,0.001287,0,0.312253,79,0.106508
Bach,,,30,38,4,0.480738,0.503617,152.443308,0.026521,0.026521,3,0.001631,0,0.301149,131,0.132917
Michelangelo,,,20,22,4,0.466875,0.487757,400.278374,0.01587,0.01587,3,0.001281,0,0.257895,49,0.080287
Anders Breivik,,,57,95,4,0.499167,0.531302,364.067142,0.05131,0.05131,7,0.002681,0,0.332707,531,0.25292
Englene,,,40,66,4,0.494633,0.518781,425.95551,0.039268,0.039268,3,0.002062,0,0.392308,306,0.195758
Anne,,,46,74,4,0.489779,0.51892,332.782962,0.033267,0.033267,3,0.002329,0,0.237681,246,0.167502
Englen Gabriel/Gabriel,,,76,356,4,0.512404,0.550501,312.945198,0.085902,0.085902,1,0.003309,0,0.545614,1555,0.417335
Kurt,,,11,13,4,0.461124,0.478436,3.886864,0.014389,0.014389,3,0.000708,0,0.6,33,0.071867
Wolf,,,5,5,5,0.373441,0.392376,2.550581,0.00383,0.00383,1,0.000473,0,0.2,2,0.018835
Lars,,,48,63,4,0.490984,0.521007,750.291002,0.043596,0.043596,4,0.002452,0,0.343972,388,0.21555
Fjodor Dostojevskij,,,30,35,4,0.475774,0.499861,52.951098,0.030459,0.030459,4,0.001515,0,0.425287,185,0.150225
Kasper,,,24,38,4,0.473144,0.494574,99.230885,0.018037,0.018037,3,0.001407,0,0.268116,74,0.092248
Clint Eastwood,,,15,19,4,0.460415,0.480106,56.423515,0.012501,0.012501,3,0.000963,0,0.333333,35,0.063644
